"ms","A","B","C","D","Y"
1,-0.626453810742332,-0.804331599841126,0.235348522634884,0.617922308455229,1.04061739632515
2,-0.44281048652025,-1.86085725399179,0.480173540106474,1.51142805571236,2.98375573105997
3,-1.2784390989303,-2.89625303806919,-0.162013348709917,1.08367181318189,-2.32439814956668
4,0.316841703207494,-4.08181339167878,-2.09682185235358,0.783770624261276,0.0421384710218236
5,0.646349475022855,-4.5822529034207,-1.05812620061949,0.251787349427783,0.586469598955236
6,-0.174118909095161,-5.10724161049605,-1.34167632093586,1.95776897419282,-1.26498717856161
7,0.313310143333325,-5.40967456703123,-2.75140541547953,2.80940413682176,1.84289876593839
8,1.05163484846254,-4.93770643466133,-2.02822498044066,3.64892128336078,2.96238532193139
9,1.62741620011603,-5.18609038344702,0.00281054430964012,4.31460134462647,2.63643323035257
10,1.32202781295968,-3.92677235398266,0.733300838407119,3.22497088506438,1.1530350815105
11,2.83380898141053,-3.57585138990787,1.61245421772988,3.13851933689807,3.26587332758198
12,3.22365221782196,-2.71253284408434,2.16701063404374,2.38863402226608,3.13841983437568
13,2.60241163728015,-3.19144415311284,1.88242957993384,1.65057928704336,2.70166835269371
14,0.387711750102654,-4.37992337141443,1.20777155610145,1.56140754969099,1.45761795479268
15,1.51264266824576,-4.64848974483634,0.492282695602892,0.189924320431305,-0.584257610739224
16,1.46770905923053,-4.72871080040722,0.22175476548785,-0.89617323040883,10.3863088700824
17,1.45151879613158,-4.85194648592337,0.534719404471577,-1.57988174246102,-2.26630428395682
18,2.39535500681688,-4.95138629162995,2.20452619419447,-3.0987409294402,0.535191628271936
19,3.21657620191497,-5.78614027035647,3.09678546727941,-3.38940996546445,-3.49354624587856
20,3.81047752313248,-3.92836072728192,2.08129656661116,-3.13979014066882,0.858621983956701
21,4.7294548947407,-4.4267577468448,2.4309135425583,-1.64044888324679,-0.597765525548078
22,5.51159119547177,-5.6968123548672,3.22029640176644,-1.20332570984937,4.10471998000727
23,5.58615617883696,-6.6337560673132,3.81848764669628,-2.10541203983556,2.11627148781111
24,3.59680448297358,-6.10031682483729,6.42743293352744,-2.08819309255412,-1.23278368076175
25,4.2166302308683,-7.71707993025943,5.64174484457105,-1.86537529797898,-0.0753487918826666
26,4.16050149133929,-8.03413656967982,6.01234157240081,-1.84868968775226,-0.218882779475338
27,4.00470598463396,-8.45390024502904,6.09169313495597,0.161867425426379,3.13155715605434
28,2.53395360073469,-8.63475606941149,4.97136878361195,0.462037124110824,-4.00615983929588
29,2.05580354562607,-7.83294485769466,4.72135293479316,-1.05625522527942,1.63585100184753
30,2.47374510582577,-8.58686276218085,5.27318893325139,-0.244946977767435,0.902346987756502
31,3.83242465735482,-8.40908806324363,5.03238375296321,0.907733622455504,2.38686320419084
32,3.72963693001182,-8.20074521421399,3.79233637825353,1.6592677418925,1.21769832799312
33,4.11730854157119,-7.39760798926345,4.37066409155779,3.89563651925632,10.4043352766529
34,4.06350350098829,-8.99268947579285,3.98030898787083,4.58815174882914,7.01634496271215
35,2.68644394415968,-7.39310581890165,3.91724704818364,4.8348130841962,9.56369567470275
36,2.27144938086,-6.89383518571674,3.76492163232823,4.2327184271966,2.13338087001962
37,1.87715942714965,-6.52622109023817,3.98803135273398,5.32123461982719,2.80057118098944
38,1.81784603043846,-6.93675125203851,4.87087020302473,7.03178770062221,4.29837714598705
39,2.91787140242235,-6.00940083288947,4.73329510387234,6.98520305111143,4.00695674650202
40,3.68104715087989,-5.14488475381688,2.6243913786548,7.63947446228513,8.31953865465848
41,3.5165235546263,-4.42273246752028,4.49947759586821,7.55716980363102,5.28739223492195
42,3.2631618744898,-4.1514669141117,4.33709810029142,7.24433623907334,6.19553772737267
43,3.96012524989453,-3.83735876860856,4.77228823912307,6.58821633208257,6.37006723219419
44,4.51678844856819,-3.08183502005374,6.81084773794228,6.42078432046052,-3.23987732083726
45,3.82803275401867,-3.27099466071563,6.97213845696528,5.92609688965201,4.6618292389407
46,3.12053759705655,-2.89375197504467,6.31429759978519,6.07960076528266,4.84567531072553
47,3.48511955919338,-3.3019849201074,7.52158244269797,6.60201639243096,4.35996947907383
48,4.2536524837088,-3.56807702917598,8.30894036354717,5.71600362807335,7.38466296827461
49,4.14130627155857,-3.48181187204951,8.8897664713415,6.39170927134994,21.8489959305414
50,5.02241399801278,-3.68032456917643,7.69940690666356,6.98651457819822,17.8138377945576
51,5.42051987837985,-3.11923683875149,8.11932255991729,8.4331132918118,7.94285828317586
52,4.80849348512908,-2.67206437591532,6.96452753312482,7.68305624788501,9.59111848914928
53,5.14961317655351,-2.93960825493089,7.84819099098498,8.45463032362219,8.4841209212882
54,4.02025008047271,-3.25349227730286,6.41697578071757,8.51271131079282,12.4354302831499
55,5.45327378217375,-3.86428980156181,6.85025786546279,8.86258768956917,4.04320320440513
